date,time,open,high,low,close,last_price,volume,oi
2025-09-04,2025-09-04 11:35:42.584080+05:30,24822.4,24823.05,24816.2,24817.3,24817.3,,
2025-09-04,2025-09-04 11:35:43.079260+05:30,24822.4,24823.05,24816.2,24817.15,24817.15,,
2025-09-04,2025-09-04 11:35:43.578315+05:30,24822.4,24823.05,24816.2,24817.5,24817.5,,
2025-09-04,2025-09-04 11:35:44.078614+05:30,24822.4,24823.05,24816.2,24817.5,24817.5,,
2025-09-04,2025-09-04 11:35:44.578251+05:30,24822.4,24823.05,24816.2,24817.3,24817.3,,
2025-09-04,2025-09-04 11:35:45.078329+05:30,24822.4,24823.05,24816.2,24818.2,24818.2,,
2025-09-04,2025-09-04 11:35:45.578184+05:30,24822.4,24823.05,24816.2,24817.4,24817.4,,
2025-09-04,2025-09-04 11:35:46.078869+05:30,24822.4,24823.05,24816.2,24817.65,24817.65,,
2025-09-04,2025-09-04 11:35:46.578546+05:30,24822.4,24823.05,24816.2,24817.4,24817.4,,
2025-09-04,2025-09-04 11:35:47.078790+05:30,24822.4,24823.05,24816.2,24818.15,24818.15,,
2025-09-04,2025-09-04 11:35:47.578071+05:30,24822.4,24823.05,24816.2,24817.7,24817.7,,
2025-09-04,2025-09-04 11:35:48.078076+05:30,24822.4,24823.05,24816.2,24817.65,24817.65,,
2025-09-04,2025-09-04 11:35:48.578090+05:30,24822.4,24823.05,24816.2,24816.9,24816.9,,
2025-09-04,2025-09-04 11:35:49.078100+05:30,24822.4,24823.05,24816.2,24817.35,24817.35,,
2025-09-04,2025-09-04 11:35:49.578037+05:30,24822.4,24823.05,24816.2,24817.45,24817.45,,
2025-09-04,2025-09-04 11:35:50.078023+05:30,24822.4,24823.05,24816.2,24817.7,24817.7,,
2025-09-04,2025-09-04 11:35:50.578146+05:30,24822.4,24823.05,24816.2,24817.15,24817.15,,
2025-09-04,2025-09-04 11:35:51.077979+05:30,24822.4,24823.05,24816.2,24816.6,24816.6,,
2025-09-04,2025-09-04 11:35:51.578143+05:30,24822.4,24823.05,24816.2,24816.6,24816.6,,
