ha_time,ha_color,ha_open,ha_high,ha_low,ha_close,underlying_open,underlying_high,underlying_low,underlying_close,cal1,form1,form2,named_levels,used_formula,triggered,reached_named_levels,reached_named_values,note,chosen_trigger_level,chosen_trigger_value,strike,side,symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_per_contract,pnl_per_lot
2025-09-05 09:49:00+05:30,GREEN,24783.182633474837,24794.35,24778.0,24786.425000000003,24783.182633474837,24794.35,24778.0,24786.425000000003,3.2423665251662896,10.190294793379767,,"{'entryA': 24783.182633474837, 'entryB': 24784.159705206617}",form1,True,"entryA,entryB","24783.183,24784.160",,entryA,24783.182633474837,24800.0,CE,NIFTY2590924800CE,2025-09-05 09:50:00+05:30,88.9,2025-09-05 09:53:00+05:30,92.4,TARGET,3.0,150.0
2025-09-05 09:49:00+05:30,GREEN,24783.182633474837,24794.35,24778.0,24786.425000000003,24783.182633474837,24794.35,24778.0,24786.425000000003,3.2423665251662896,10.190294793379767,,"{'entryA': 24783.182633474837, 'entryB': 24784.159705206617}",form1,True,"entryA,entryB","24783.183,24784.160",NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24783.182633474837,24900.0,CE,,,,,,,,
2025-09-05 09:49:00+05:30,GREEN,24783.182633474837,24794.35,24778.0,24786.425000000003,24783.182633474837,24794.35,24778.0,24786.425000000003,3.2423665251662896,10.190294793379767,,"{'entryA': 24783.182633474837, 'entryB': 24784.159705206617}",form1,True,"entryA,entryB","24783.183,24784.160",NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24783.182633474837,25000.0,CE,,,,,,,,
2025-09-05 09:50:00+05:30,GREEN,24784.803816737414,24795.55,24784.803816737414,24794.2875,24784.803816737414,24795.55,24784.803816737414,24794.2875,9.483683262584236,29.8058616824076,,"{'entryA': 24784.803816737414, 'entryB': 24765.74413831759}",form1,True,entryA,24784.804,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24784.803816737414,24600.0,CE,,,,,,,,
2025-09-05 09:50:00+05:30,GREEN,24784.803816737414,24795.55,24784.803816737414,24794.2875,24784.803816737414,24795.55,24784.803816737414,24794.2875,9.483683262584236,29.8058616824076,,"{'entryA': 24784.803816737414, 'entryB': 24765.74413831759}",form1,True,entryA,24784.804,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24784.803816737414,24700.0,CE,,,,,,,,
2025-09-05 09:50:00+05:30,GREEN,24784.803816737414,24795.55,24784.803816737414,24794.2875,24784.803816737414,24795.55,24784.803816737414,24794.2875,9.483683262584236,29.8058616824076,,"{'entryA': 24784.803816737414, 'entryB': 24765.74413831759}",form1,True,entryA,24784.804,,entryA,24784.803816737414,24800.0,CE,NIFTY2590924800CE,2025-09-05 09:51:00+05:30,91.25,2025-09-05 09:57:00+05:30,86.8,STOP,-1.0,-50.0
2025-09-05 09:50:00+05:30,GREEN,24784.803816737414,24795.55,24784.803816737414,24794.2875,24784.803816737414,24795.55,24784.803816737414,24794.2875,9.483683262584236,29.8058616824076,,"{'entryA': 24784.803816737414, 'entryB': 24765.74413831759}",form1,True,entryA,24784.804,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24784.803816737414,24900.0,CE,,,,,,,,
2025-09-05 09:50:00+05:30,GREEN,24784.803816737414,24795.55,24784.803816737414,24794.2875,24784.803816737414,24795.55,24784.803816737414,24794.2875,9.483683262584236,29.8058616824076,,"{'entryA': 24784.803816737414, 'entryB': 24765.74413831759}",form1,True,entryA,24784.804,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24784.803816737414,25000.0,CE,,,,,,,,
2025-09-05 09:51:00+05:30,GREEN,24789.545658368712,24798.0,24789.545658368712,24794.9,24789.545658368712,24798.0,24789.545658368712,24794.9,5.3543416312895715,16.827930841195794,,"{'entryA': 24789.545658368712, 'entryB': 24781.172069158805}",form1,True,entryA,24789.546,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24789.545658368712,24600.0,CE,,,,,,,,
2025-09-05 09:51:00+05:30,GREEN,24789.545658368712,24798.0,24789.545658368712,24794.9,24789.545658368712,24798.0,24789.545658368712,24794.9,5.3543416312895715,16.827930841195794,,"{'entryA': 24789.545658368712, 'entryB': 24781.172069158805}",form1,True,entryA,24789.546,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24789.545658368712,24700.0,CE,,,,,,,,
